date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:38:55	33419/33419	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2030%20Dec%202021%2007:38:48%20GMT	http://mydahlia.co.kr/product/%eb%82%b4%ec%b8%84%eb%9f%b4-%ed%99%88-%eb%94%94%ed%93%a8%ec%a0%80-%ea%b7%b8%eb%a6%b0%ea%b7%b8%eb%a0%88%ec%9d%b4%ed%94%84-150ml/72/category/90/display/1/	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/product/%eb%82%b4%ec%b8%84%eb%9f%b4-%ed%99%88-%eb%94%94%ed%93%a8%ec%a0%80-%ea%b7%b8%eb%a6%b0%ea%b7%b8%eb%a0%88%ec%9d%b4%ed%94%84-150ml/72/category/90/display/1/index.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1)
16:38:55	93530/93530	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Oct%202021%2006:43:02%20GMT	http://mydahlia.co.kr/web/product/medium/202110/2eaab329e5840e0a2a59e5f6f9c8c41d.jpg	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/web/product/medium/202110/2eaab329e5840e0a2a59e5f6f9c8c41d.jpg	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=3)
16:38:56	351646/351646	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202019%2001:49:04%20GMT	http://mydahlia.co.kr/web/product/medium/20191205/3a11aba6cc0464788e55700be77f349d.png	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/web/product/medium/20191205/3a11aba6cc0464788e55700be77f349d.png	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1)
16:39:02	33677/33677	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2030%20Dec%202021%2007:38:54%20GMT	http://mydahlia.co.kr/product/%eb%82%b4%ec%b8%84%eb%9f%b4-%ed%99%88-%eb%94%94%ed%93%a8%ec%a0%80-%eb%9d%bc%ec%a6%88%eb%b2%a0%eb%a6%ac-150ml/74/category/90/display/1/	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/product/%eb%82%b4%ec%b8%84%eb%9f%b4-%ed%99%88-%eb%94%94%ed%93%a8%ec%a0%80-%eb%9d%bc%ec%a6%88%eb%b2%a0%eb%a6%ac-150ml/74/category/90/display/1/index.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1)
16:39:05	33341/33341	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2030%20Dec%202021%2007:38:55%20GMT	http://mydahlia.co.kr/product/%eb%82%b4%ec%b8%84%eb%9f%b4-%ed%99%88-%eb%94%94%ed%93%a8%ec%a0%80-%ed%94%bc%ec%b9%98-150ml/73/category/90/display/1/	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/product/%eb%82%b4%ec%b8%84%eb%9f%b4-%ed%99%88-%eb%94%94%ed%93%a8%ec%a0%80-%ed%94%bc%ec%b9%98-150ml/73/category/90/display/1/index.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1)
16:39:11	135348/135348	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Dec%202021%2007:38:55%20GMT	http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1&page=1	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/category/shop/90/indexe689.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1)
16:39:12	33351/33351	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2030%20Dec%202021%2007:38:55%20GMT	http://mydahlia.co.kr/product/%eb%82%b4%ec%b8%84%eb%9f%b4-%ed%99%88-%eb%94%94%ed%93%a8%ec%a0%80-%ec%bd%94%ed%8a%bc-150ml/93/category/90/display/1/	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/product/%eb%82%b4%ec%b8%84%eb%9f%b4-%ed%99%88-%eb%94%94%ed%93%a8%ec%a0%80-%ec%bd%94%ed%8a%bc-150ml/93/category/90/display/1/index.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1)
16:39:17	134815/134815	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Dec%202021%2007:39:00%20GMT	http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1&page=2	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/category/shop/90/index16e5.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1)
16:39:17	96284/96284	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Dec%202021%2007:39:11%20GMT	http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1&page=5	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/category/shop/90/index89dd.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1)
16:39:17	134564/134564	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Dec%202021%2007:39:04%20GMT	http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1&page=3	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/category/shop/90/index1839.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1)
16:39:18	134300/134300	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Dec%202021%2007:39:10%20GMT	http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1&page=4	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/category/shop/90/index61a9.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=1)
16:39:22	33479/33479	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2030%20Dec%202021%2007:39:15%20GMT	http://mydahlia.co.kr/product/%ed%8f%ac%ec%bc%93%ed%8d%bc%ed%93%b8-%eb%82%98%ec%9d%b4%ed%8a%b8-%ec%95%84%ec%bf%a0%ec%95%84-18ml/96/category/90/display/1/	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/product/%ed%8f%ac%ec%bc%93%ed%8d%bc%ed%93%b8-%eb%82%98%ec%9d%b4%ed%8a%b8-%ec%95%84%ec%bf%a0%ec%95%84-18ml/96/category/90/display/1/index.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=3)
16:39:23	33407/33407	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2030%20Dec%202021%2007:39:16%20GMT	http://mydahlia.co.kr/product/%ed%8f%ac%ec%bc%93%ed%8d%bc%ed%93%b8-%ed%94%84%eb%a3%a8%ed%8b%b0-%ec%86%9d-18ml/95/category/90/display/1/	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/product/%ed%8f%ac%ec%bc%93%ed%8d%bc%ed%93%b8-%ed%94%84%eb%a3%a8%ed%8b%b0-%ec%86%9d-18ml/95/category/90/display/1/index.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=3)
16:39:24	33117/33117	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2030%20Dec%202021%2007:39:16%20GMT	http://mydahlia.co.kr/product/%ed%8c%a8%eb%b8%8c%eb%a6%ad-%ed%8d%bc%ed%93%b8-%ec%98%a4%eb%a0%8c%ec%a7%80%ed%94%bc%eb%b2%84-100ml/97/category/90/display/1/	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/product/%ed%8c%a8%eb%b8%8c%eb%a6%ad-%ed%8d%bc%ed%93%b8-%ec%98%a4%eb%a0%8c%ec%a7%80%ed%94%bc%eb%b2%84-100ml/97/category/90/display/1/index.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=3)
16:39:25	33481/33481	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2030%20Dec%202021%2007:39:17%20GMT	http://mydahlia.co.kr/product/%eb%b0%94%eb%94%94%eb%af%b8%ec%8a%a4%ed%8a%b8-%ec%8a%a4%ec%9c%84%ed%8a%b8-%ed%94%bc%ec%98%a4%eb%8b%88-100ml/89/category/90/display/1/	C:/My%20Web%20Sites/sample_md/mydahlia.co.kr/product/%eb%b0%94%eb%94%94%eb%af%b8%ec%8a%a4%ed%8a%b8-%ec%8a%a4%ec%9c%84%ed%8a%b8-%ed%94%bc%ec%98%a4%eb%8b%88-100ml/89/category/90/display/1/index.html	(from http://mydahlia.co.kr/category/shop/90/?cate_no=90&sort_method=3)
